M_L,D_L_kpc,D_S_kpc,mu_rel_mas_yr,theta_E_mas,u0,binary_sep_au,binary_sep_arcsec,gal_lon_S_deg,gal_lat_S_deg
0.1080942451953888,1.0593788781121696,8.349575945533724,14.85944624328705,0.8506563842314164,0.4572561074609832,0.0027594510038287828,3.3048995803252045e-07,7.806115635009728,4.574181491095995
0.3106350004673004,4.306823790778966,7.83207543560028,11.66815556012138,0.5135058846457791,-1.8847188784165145,1.5691277472079408,0.00020034635265073604,7.847241434761841,4.93119127466068
0.11908666789531708,4.632275476066044,10.51284426181989,4.986550709531684,0.3417653616375725,-0.0768058202750085,0.010221878614358788,9.723228423997664e-07,8.919753335591565,-3.3803075482608462
0.2562881410121918,6.1783825003455926,7.294702168131274,2.28901920336687,0.2270614779879378,1.102257798904222,0.06887778575431143,9.442165583568472e-06,8.803810807073466,-3.459524781693301
0.1098627895116806,6.5389578395534524,8.791398183291452,8.926219307761617,0.18698679888208658,1.13263267729411,21.375442681072116,0.002431404224381208,8.696018668293767,-3.652827375773435
0.14273500442504883,6.3434154736664565,7.632316895005191,4.729066558325346,0.17568030115144292,0.7737974208367049,0.009638003237922054,1.2627886617534765e-06,8.660370871778122,-3.559953114749091
0.5401530238917125,7.136096285412145,12.123484739920677,6.279204515363221,0.7098553001015651,0.8119385395288568,0.34588330949202445,2.8530023909139472e-05,8.896525360573184,-3.6844376897944526
0.7990319930866299,5.085837809034132,6.944840678229291,4.5946344901164275,0.7642235069437807,-0.8474560111744226,0.3683283267517101,5.303625292749292e-05,8.86566896446879,-3.677059342040602
0.6294891841212188,4.009154739737772,7.462531901261852,6.229228572630531,0.7682341214365523,-1.0673553278734245,0.13496647448008095,1.808588241442013e-05,8.856338164205226,-3.6505511354412743
0.49662047497715567,7.189874983171143,8.178371499577946,10.105342049960921,0.41352926365162795,0.5055172381125015,0.10226136842263268,1.2503879094745207e-05,8.917956628053933,-3.8420967380875113
0.4242904782295227,5.312345320083961,10.515434455011842,8.864404887832718,0.5665623426991427,0.8460409435524633,3.7429040869877563,0.00035594383693807554,-0.23850856378491775,-3.0670142677920795
0.3487752676010132,6.719721942744421,7.674767166409222,7.506335584917577,0.22905251325951043,0.15745926665020854,1.230586762780079,0.00016034190172779293,-0.08868915922676157,-3.234547322750774
0.3286052942276001,7.119434859928701,7.464988353431864,11.66325794624958,0.1317371825595923,-0.4393890201285836,0.005216417248776198,6.987843787295482e-07,-0.19849774453707164,-2.9088790769264508
0.5440354347229004,6.995396769771317,8.048382958120285,9.699184488603318,0.3994601586914923,-0.31925730765087423,0.0028129459038504587,3.4950448040154237e-07,0.021710767996519605,-3.060665907735698
0.21234211325645447,7.647733538801675,8.24830682602136,12.871878617197147,0.12814494726095219,0.17152924128115304,0.11829401453820912,1.4341611803894212e-05,0.04515120642659833,-2.9707191414507714
0.5170630216598511,4.9891763644350755,6.99841679426119,3.4754143917998435,0.5886152379063365,0.6237247688045191,3.801300115489483,0.000543165722654102,-0.1290097143300738,-3.20611886341975
0.32285478711128235,3.8349352706300452,8.618976277767137,8.115883459717944,0.6160840428994084,0.308169212155127,0.035847750332557,4.1591656801547495e-06,0.07895332921920693,-2.8881969418353135
0.35231292247772217,5.110684818065634,8.141453816310202,23.464349836490385,0.45655482494832794,0.4023817961901379,2.0411971495024375,0.0002507165422240927,0.10735168862599076,-2.6924449912311763
0.25966379046440125,4.960753831776189,7.340133182288688,10.103577526806873,0.37124080981223667,-0.15202126827705834,0.028833623499924098,3.928215303980852e-06,-0.22378663190372375,-2.841582929349825
0.07127393782138824,4.569894482475173,8.143874545621157,21.218039023010917,0.23578396887357542,-0.07479643217032039,6.095677107555298,0.0007484984049555202,0.2583748937128148,-2.900514731644407
0.446237713098526,3.6786306496041066,8.116220745956706,13.116270246329375,0.7339738096416091,0.004410119655351659,0.5474244007634212,6.744819022278739e-05,-0.1938330522270398,-3.191965681156979
0.4093700349330902,5.099366846643815,11.739739745401977,7.986045711388662,0.6073123332946092,-0.22683287181815803,0.020849846370114784,1.7760058418910775e-06,0.11494508953579827,-2.764218576526863
0.649329662322998,5.869866158916692,8.771768301217998,8.419031190505297,0.5452001150671892,0.8152315912586392,0.11812996382662662,1.3467063854185906e-05,0.2910413677449504,-2.8545663276589424
0.45786353945732117,7.876803270768729,8.359774063813404,18.113033500444118,0.16516429920485648,0.855540783210965,3.4873892202633296,0.00041716309479690873,0.021589384293729405,-2.9571716833098436
0.15781976282596588,3.009349682944592,8.638562135413606,4.780154931858058,0.5268544062523897,-0.8152916782676668,26.088589051352265,0.0030200152111429096,-0.1531614880075771,-3.058130612772603
0.2774696350097656,4.159027933701397,8.11829101265699,9.333297586081798,0.5140833365904951,0.7415643332997532,0.2452140012883488,3.0205125796308957e-05,-0.24254946262723492,-3.024528370786807
0.5425719618797302,5.852020646271767,8.12741771874242,13.406723948582655,0.45917303757074546,0.05037226318977739,0.04853241517926296,5.9714434348985985e-06,-0.19137642953776357,-3.0590964716121833
0.11382629722356796,7.186171319689818,13.568949732957826,9.05524856584996,0.24600704932611372,-1.0561254495249708,0.4875460118505255,3.593100582179309e-05,-0.04740215896747436,-3.159519786824476
0.35472145676612854,8.212527616519816,10.116422689169426,12.694826300278025,0.2569578442228771,0.39731667100485674,0.010308118938021495,1.0189490153527589e-06,0.08753881514433032,-3.2343845677076684
0.17097143828868866,3.067519276077315,9.091623877422379,1.8753159203011867,0.547697154720123,-0.2640004836035669,0.017618904513009775,1.937927123972161e-06,0.035142894254587914,-2.866540440502495
